1. Num: -39 | Bin: b100111 | Hex: X27
2. Num: -36 | Bin: b100100 | Hex: X24
3. Num: 8 | Bin: 1000 | Hex: 8
4. Num: 34 | Bin: 100010 | Hex: 22
5. Num: 17 | Bin: 10001 | Hex: 11
6. Num: 49 | Bin: 110001 | Hex: 31
7. Num: 5 | Bin: 101 | Hex: 5
8. Num: 39 | Bin: 100111 | Hex: 27
9. Num: 0 | Bin: 0 | Hex: 0
10. Num: 33 | Bin: 100001 | Hex: 21
11. Num: 12 | Bin: 1100 | Hex: C
12. Num: -6 | Bin: b110 | Hex: X6
13. Num: 27 | Bin: 11011 | Hex: 1B
14. Num: -4 | Bin: b100 | Hex: X4
15. Num: -38 | Bin: b100110 | Hex: X26
16. Num: 26 | Bin: 11010 | Hex: 1A
17. Num: 49 | Bin: 110001 | Hex: 31
18. Num: 29 | Bin: 11101 | Hex: 1D
19. Num: 42 | Bin: 101010 | Hex: 2A
20. Num: -16 | Bin: b10000 | Hex: X10
21. Num: -28 | Bin: b11100 | Hex: X1C
22. Num: 34 | Bin: 100010 | Hex: 22
23. Num: 20 | Bin: 10100 | Hex: 14
24. Num: 0 | Bin: 0 | Hex: 0
25. Num: 25 | Bin: 11001 | Hex: 19
26. Num: 45 | Bin: 101101 | Hex: 2D
27. Num: 3 | Bin: 11 | Hex: 3
28. Num: -46 | Bin: b101110 | Hex: X2E
29. Num: -46 | Bin: b101110 | Hex: X2E
30. Num: 29 | Bin: 11101 | Hex: 1D
31. Num: 33 | Bin: 100001 | Hex: 21
32. Num: 29 | Bin: 11101 | Hex: 1D
33. Num: 26 | Bin: 11010 | Hex: 1A
34. Num: -5 | Bin: b101 | Hex: X5
35. Num: -36 | Bin: b100100 | Hex: X24
36. Num: 12 | Bin: 1100 | Hex: C
37. Num: 45 | Bin: 101101 | Hex: 2D
38. Num: -50 | Bin: b110010 | Hex: X32
39. Num: 0 | Bin: 0 | Hex: 0
40. Num: -6 | Bin: b110 | Hex: X6
41. Num: -39 | Bin: b100111 | Hex: X27
42. Num: 35 | Bin: 100011 | Hex: 23
43. Num: 26 | Bin: 11010 | Hex: 1A
44. Num: -35 | Bin: b100011 | Hex: X23
45. Num: -42 | Bin: b101010 | Hex: X2A
46. Num: 14 | Bin: 1110 | Hex: E
47. Num: -3 | Bin: b11 | Hex: X3
48. Num: 22 | Bin: 10110 | Hex: 16
49. Num: -47 | Bin: b101111 | Hex: X2F
50. Num: 12 | Bin: 1100 | Hex: C
51. Num: -17 | Bin: b10001 | Hex: X11
52. Num: -31 | Bin: b11111 | Hex: X1F
53. Num: -25 | Bin: b11001 | Hex: X19
54. Num: -35 | Bin: b100011 | Hex: X23
55. Num: -18 | Bin: b10010 | Hex: X12
56. Num: 14 | Bin: 1110 | Hex: E
57. Num: 37 | Bin: 100101 | Hex: 25
58. Num: -8 | Bin: b1000 | Hex: X8
59. Num: -41 | Bin: b101001 | Hex: X29
60. Num: -50 | Bin: b110010 | Hex: X32
61. Num: -9 | Bin: b1001 | Hex: X9
62. Num: 2 | Bin: 10 | Hex: 2
63. Num: 12 | Bin: 1100 | Hex: C
64. Num: -39 | Bin: b100111 | Hex: X27
65. Num: -17 | Bin: b10001 | Hex: X11
66. Num: 0 | Bin: 0 | Hex: 0
67. Num: 27 | Bin: 11011 | Hex: 1B
68. Num: 28 | Bin: 11100 | Hex: 1C
69. Num: 45 | Bin: 101101 | Hex: 2D
70. Num: -44 | Bin: b101100 | Hex: X2C
71. Num: 28 | Bin: 11100 | Hex: 1C
72. Num: 35 | Bin: 100011 | Hex: 23
73. Num: -33 | Bin: b100001 | Hex: X21
74. Num: 43 | Bin: 101011 | Hex: 2B
75. Num: -4 | Bin: b100 | Hex: X4
76. Num: 23 | Bin: 10111 | Hex: 17
77. Num: -49 | Bin: b110001 | Hex: X31
78. Num: 49 | Bin: 110001 | Hex: 31
79. Num: -7 | Bin: b111 | Hex: X7
80. Num: -38 | Bin: b100110 | Hex: X26
81. Num: -45 | Bin: b101101 | Hex: X2D
82. Num: 5 | Bin: 101 | Hex: 5
83. Num: -21 | Bin: b10101 | Hex: X15
84. Num: 26 | Bin: 11010 | Hex: 1A
85. Num: -2 | Bin: b10 | Hex: X2
86. Num: -24 | Bin: b11000 | Hex: X18
87. Num: 6 | Bin: 110 | Hex: 6
88. Num: -45 | Bin: b101101 | Hex: X2D
89. Num: -4 | Bin: b100 | Hex: X4
90. Num: 15 | Bin: 1111 | Hex: F
91. Num: 0 | Bin: 0 | Hex: 0
92. Num: -17 | Bin: b10001 | Hex: X11
93. Num: -35 | Bin: b100011 | Hex: X23
94. Num: 43 | Bin: 101011 | Hex: 2B
95. Num: 45 | Bin: 101101 | Hex: 2D
96. Num: -35 | Bin: b100011 | Hex: X23
97. Num: -8 | Bin: b1000 | Hex: X8
98. Num: 28 | Bin: 11100 | Hex: 1C
99. Num: 47 | Bin: 101111 | Hex: 2F
100. Num: 34 | Bin: 100010 | Hex: 22
101. Num: -24 | Bin: b11000 | Hex: X18
102. Num: -42 | Bin: b101010 | Hex: X2A
103. Num: -13 | Bin: b1101 | Hex: XD
104. Num: 14 | Bin: 1110 | Hex: E
105. Num: -45 | Bin: b101101 | Hex: X2D
106. Num: -35 | Bin: b100011 | Hex: X23
107. Num: 27 | Bin: 11011 | Hex: 1B
108. Num: -12 | Bin: b1100 | Hex: XC
109. Num: -19 | Bin: b10011 | Hex: X13
110. Num: -20 | Bin: b10100 | Hex: X14
111. Num: -14 | Bin: b1110 | Hex: XE
112. Num: 20 | Bin: 10100 | Hex: 14
113. Num: 30 | Bin: 11110 | Hex: 1E
114. Num: 12 | Bin: 1100 | Hex: C
115. Num: -36 | Bin: b100100 | Hex: X24
116. Num: -47 | Bin: b101111 | Hex: X2F
117. Num: -27 | Bin: b11011 | Hex: X1B
118. Num: -3 | Bin: b11 | Hex: X3
119. Num: 6 | Bin: 110 | Hex: 6
120. Num: 36 | Bin: 100100 | Hex: 24
121. Num: 9 | Bin: 1001 | Hex: 9
122. Num: -16 | Bin: b10000 | Hex: X10
123. Num: 36 | Bin: 100100 | Hex: 24
124. Num: -27 | Bin: b11011 | Hex: X1B
125. Num: 7 | Bin: 111 | Hex: 7
126. Num: -6 | Bin: b110 | Hex: X6
127. Num: -5 | Bin: b101 | Hex: X5
128. Num: 5 | Bin: 101 | Hex: 5
129. Num: 47 | Bin: 101111 | Hex: 2F
130. Num: 23 | Bin: 10111 | Hex: 17
131. Num: -48 | Bin: b110000 | Hex: X30
132. Num: -24 | Bin: b11000 | Hex: X18
133. Num: 40 | Bin: 101000 | Hex: 28
134. Num: -4 | Bin: b100 | Hex: X4
135. Num: -18 | Bin: b10010 | Hex: X12
136. Num: -19 | Bin: b10011 | Hex: X13
137. Num: 14 | Bin: 1110 | Hex: E
138. Num: 15 | Bin: 1111 | Hex: F
139. Num: 1 | Bin: 1 | Hex: 1
140. Num: 24 | Bin: 11000 | Hex: 18
141. Num: -9 | Bin: b1001 | Hex: X9
142. Num: -50 | Bin: b110010 | Hex: X32
143. Num: 18 | Bin: 10010 | Hex: 12
144. Num: 15 | Bin: 1111 | Hex: F
145. Num: 30 | Bin: 11110 | Hex: 1E
146. Num: 44 | Bin: 101100 | Hex: 2C
147. Num: 9 | Bin: 1001 | Hex: 9
148. Num: 19 | Bin: 10011 | Hex: 13
149. Num: 33 | Bin: 100001 | Hex: 21
150. Num: 41 | Bin: 101001 | Hex: 29
151. Num: -24 | Bin: b11000 | Hex: X18
152. Num: 43 | Bin: 101011 | Hex: 2B
153. Num: 48 | Bin: 110000 | Hex: 30
154. Num: -23 | Bin: b10111 | Hex: X17
155. Num: 7 | Bin: 111 | Hex: 7
156. Num: 28 | Bin: 11100 | Hex: 1C
157. Num: 8 | Bin: 1000 | Hex: 8
158. Num: -2 | Bin: b10 | Hex: X2
159. Num: 37 | Bin: 100101 | Hex: 25
160. Num: 42 | Bin: 101010 | Hex: 2A
161. Num: -17 | Bin: b10001 | Hex: X11
162. Num: -6 | Bin: b110 | Hex: X6
163. Num: 36 | Bin: 100100 | Hex: 24
164. Num: 22 | Bin: 10110 | Hex: 16
165. Num: 27 | Bin: 11011 | Hex: 1B
166. Num: 31 | Bin: 11111 | Hex: 1F
167. Num: -47 | Bin: b101111 | Hex: X2F
168. Num: -43 | Bin: b101011 | Hex: X2B
169. Num: 0 | Bin: 0 | Hex: 0
170. Num: 27 | Bin: 11011 | Hex: 1B
171. Num: 30 | Bin: 11110 | Hex: 1E
172. Num: 12 | Bin: 1100 | Hex: C
173. Num: -15 | Bin: b1111 | Hex: XF
174. Num: -19 | Bin: b10011 | Hex: X13
175. Num: -42 | Bin: b101010 | Hex: X2A
176. Num: -37 | Bin: b100101 | Hex: X25
177. Num: 31 | Bin: 11111 | Hex: 1F
178. Num: -10 | Bin: b1010 | Hex: XA
179. Num: 18 | Bin: 10010 | Hex: 12
180. Num: 33 | Bin: 100001 | Hex: 21
181. Num: -15 | Bin: b1111 | Hex: XF
182. Num: 17 | Bin: 10001 | Hex: 11
183. Num: 25 | Bin: 11001 | Hex: 19
184. Num: -25 | Bin: b11001 | Hex: X19
185. Num: -5 | Bin: b101 | Hex: X5
186. Num: 33 | Bin: 100001 | Hex: 21
187. Num: -13 | Bin: b1101 | Hex: XD
188. Num: 33 | Bin: 100001 | Hex: 21
189. Num: -10 | Bin: b1010 | Hex: XA
190. Num: 47 | Bin: 101111 | Hex: 2F
191. Num: 47 | Bin: 101111 | Hex: 2F
192. Num: -13 | Bin: b1101 | Hex: XD
193. Num: -32 | Bin: b100000 | Hex: X20
194. Num: 1 | Bin: 1 | Hex: 1
195. Num: 1 | Bin: 1 | Hex: 1
196. Num: -25 | Bin: b11001 | Hex: X19
197. Num: -33 | Bin: b100001 | Hex: X21
198. Num: 16 | Bin: 10000 | Hex: 10
199. Num: 17 | Bin: 10001 | Hex: 11
200. Num: 4 | Bin: 100 | Hex: 4

Time elapsed: 0.027996540069580078 seconds
